episode,color_idx,shape_idx,size_idx,success,token_0,token_1,token_2
0,0,0,1,1,3,6,1
1,1,2,1,1,3,6,6
2,0,0,0,1,4,5,9
3,2,2,1,1,3,6,6
4,0,2,0,0,3,5,0
5,1,2,1,0,3,6,6
6,1,1,1,1,3,6,8
7,0,2,1,0,3,6,6
8,0,0,1,1,3,6,1
9,2,0,0,0,4,5,9
10,1,1,0,1,4,5,0
11,2,2,1,1,3,6,6
12,2,1,1,1,3,6,8
13,2,1,1,1,3,6,8
14,1,0,0,1,4,5,9
15,0,1,0,1,4,5,0
16,0,0,1,0,3,6,1
17,1,2,0,1,3,5,0
18,0,0,0,0,4,5,9
19,2,1,0,1,4,5,0
20,0,1,1,1,3,6,8
21,2,0,0,1,4,5,9
22,1,2,1,1,3,6,6
23,2,2,0,0,3,5,0
24,0,1,0,1,4,5,0
25,1,0,0,1,4,5,9
26,1,1,0,1,4,5,0
27,1,0,0,1,4,5,9
28,0,1,0,0,4,5,0
29,0,1,1,1,3,6,8
30,1,1,0,1,4,5,0
31,0,2,0,0,3,5,0
32,1,1,1,1,3,6,8
33,1,2,0,1,3,5,0
34,2,2,0,1,3,5,0
35,1,1,0,1,4,5,0
36,0,0,1,1,3,6,1
37,2,0,1,1,3,6,1
38,1,1,1,1,3,6,8
39,2,2,0,1,3,5,0
40,2,0,0,1,4,5,9
41,0,0,0,1,4,5,9
42,1,0,0,1,4,5,9
43,2,1,0,1,4,5,0
44,0,1,1,1,3,6,8
45,1,0,1,0,3,6,1
46,2,2,0,0,3,5,0
47,0,0,0,0,4,5,9
48,2,0,1,0,3,6,1
49,1,0,0,0,4,5,9
50,0,0,1,1,3,6,1
51,2,2,0,1,3,5,0
52,1,2,1,0,3,6,6
53,1,1,1,1,3,6,8
54,2,2,0,1,3,5,0
55,1,2,1,1,3,6,6
56,0,2,1,1,3,6,6
57,1,1,0,1,4,5,0
58,1,1,1,1,3,6,8
59,2,2,0,1,3,5,0
60,1,0,0,1,4,5,9
61,2,1,1,1,3,6,8
62,0,1,1,0,3,6,8
63,1,2,0,0,3,5,0
64,0,1,1,1,3,6,8
65,2,2,0,0,3,5,0
66,0,0,0,0,4,5,9
67,0,0,0,1,4,5,9
68,2,1,1,1,3,6,8
69,1,1,1,1,3,6,8
70,2,1,0,1,4,5,0
71,0,0,0,0,4,5,9
72,1,1,1,1,3,6,8
73,2,2,1,1,3,6,6
74,2,0,1,1,3,6,1
75,0,0,1,1,3,6,1
76,1,1,0,1,4,5,0
77,0,0,1,0,3,6,1
78,0,1,1,1,3,6,8
79,1,1,1,1,3,6,8
80,0,1,1,1,3,6,8
81,0,1,0,1,4,5,0
82,1,1,1,0,3,6,8
83,2,0,0,1,4,5,9
84,1,1,0,1,4,5,0
85,0,2,0,1,3,5,0
86,1,0,0,1,4,5,9
87,2,0,1,1,3,6,1
88,0,2,1,1,3,6,6
89,0,1,1,1,3,6,8
90,2,1,1,1,3,6,8
91,0,2,1,1,3,6,6
92,1,0,1,0,3,6,1
93,0,0,1,1,3,6,1
94,0,2,1,1,3,6,6
95,1,0,0,1,4,5,9
96,2,1,0,0,4,5,0
97,2,2,1,1,3,6,6
98,0,2,0,0,3,5,0
99,2,0,1,0,3,6,1
100,0,2,0,1,3,5,0
101,0,1,0,0,4,5,0
102,2,1,0,1,4,5,0
103,0,0,1,1,3,6,1
104,0,2,0,1,3,5,0
105,2,2,1,1,3,6,6
106,1,2,0,1,3,5,0
107,1,1,1,1,3,6,8
108,1,2,1,1,3,6,6
109,0,1,1,1,3,6,8
110,0,1,1,1,3,6,8
111,0,2,1,0,3,6,6
112,1,0,0,1,4,5,9
113,0,1,0,1,4,5,0
114,0,2,1,0,3,6,6
115,2,2,0,0,3,5,0
116,1,2,0,1,3,5,0
117,0,2,0,1,3,5,0
118,0,2,1,0,3,6,6
119,0,2,1,0,3,6,6
120,1,0,1,0,3,6,1
121,2,2,1,1,3,6,6
122,2,0,1,1,3,6,1
123,2,1,0,1,4,5,0
124,0,1,1,1,3,6,8
125,0,0,0,0,4,5,9
126,2,0,0,1,4,5,9
127,2,1,0,0,4,5,0
128,1,2,0,1,3,5,0
129,2,2,0,1,3,5,0
130,2,1,1,1,3,6,8
131,1,1,0,1,4,5,0
