seed,fold,condition,stage,batch,success,return,total_length,initial_length,feedback_length,response_length
0,0,duplex_direct,1,1,0.21875,0.06749999999999994,7.5625,2.84375,1.96875,2.75
0,0,duplex_direct,1,2,0.109375,-0.041875000000000065,7.5625,2.765625,1.96875,2.828125
0,0,duplex_direct,1,3,0.125,-0.027500000000000004,7.625,2.828125,1.921875,2.875
0,0,duplex_direct,1,4,0.1875,0.038437499999999986,7.453125,2.78125,1.875,2.796875
0,0,duplex_direct,1,5,0.15625,0.007187499999999989,7.453125,2.78125,1.921875,2.75
0,0,duplex_direct,1,6,0.265625,0.11718749999999993,7.421875,2.75,1.9375,2.734375
0,0,duplex_direct,1,7,0.15625,0.005312499999999993,7.546875,2.796875,1.9375,2.8125
0,0,duplex_direct,1,8,0.140625,-0.010000000000000009,7.53125,2.9375,1.859375,2.734375
0,0,duplex_direct,1,9,0.125,-0.022499999999999996,7.375,2.78125,1.9375,2.65625
0,0,duplex_direct,1,10,0.171875,0.02250000000000001,7.46875,2.65625,1.9375,2.875
0,0,duplex_direct,1,11,0.203125,0.05124999999999999,7.59375,2.84375,1.859375,2.890625
0,0,duplex_direct,1,12,0.15625,0.009062499999999982,7.359375,2.828125,1.953125,2.578125
0,0,duplex_direct,1,13,0.1875,0.03468749999999996,7.640625,2.8125,1.96875,2.859375
0,0,duplex_direct,1,14,0.109375,-0.04281250000000003,7.609375,2.890625,1.953125,2.765625
0,0,duplex_direct,1,15,0.078125,-0.07281250000000004,7.546875,2.875,1.84375,2.828125
0,0,duplex_direct,1,16,0.140625,-0.0128125,7.671875,2.859375,1.953125,2.859375
0,0,duplex_direct,1,17,0.078125,-0.07250000000000004,7.53125,2.890625,1.90625,2.734375
0,0,duplex_direct,1,18,0.234375,0.0831249999999999,7.5625,2.78125,1.9375,2.84375
0,0,duplex_direct,1,19,0.21875,0.06593749999999998,7.640625,2.90625,1.890625,2.84375
0,0,duplex_direct,1,20,0.171875,0.019375000000000003,7.625,2.84375,1.875,2.90625
0,0,duplex_direct,1,21,0.109375,-0.044062500000000025,7.671875,2.953125,1.96875,2.75
0,0,duplex_direct,1,22,0.09375,-0.052812500000000054,7.328125,2.578125,1.90625,2.84375
0,0,duplex_direct,1,23,0.15625,0.004999999999999989,7.5625,2.75,1.9375,2.875
0,0,duplex_direct,1,24,0.109375,-0.04062500000000003,7.5,2.796875,1.921875,2.78125
0,0,duplex_direct,1,25,0.203125,0.054062499999999986,7.453125,2.859375,1.875,2.71875
0,0,duplex_direct,1,26,0.203125,0.056249999999999994,7.34375,2.78125,1.9375,2.625
0,0,duplex_direct,1,27,0.171875,0.02156249999999999,7.515625,2.796875,1.90625,2.8125
0,0,duplex_direct,1,28,0.25,0.1003124999999999,7.484375,2.765625,1.921875,2.796875
0,0,duplex_direct,1,29,0.203125,0.055937499999999966,7.359375,2.84375,1.875,2.640625
0,0,duplex_direct,1,30,0.171875,0.02124999999999997,7.53125,2.734375,1.921875,2.875
0,0,duplex_direct,1,31,0.1875,0.039687499999999966,7.390625,2.6875,1.890625,2.8125
0,0,duplex_direct,1,32,0.125,-0.02531250000000001,7.515625,2.78125,1.875,2.859375
0,0,duplex_direct,1,33,0.21875,0.07249999999999995,7.3125,2.8125,1.875,2.625
0,0,duplex_direct,1,34,0.21875,0.06937499999999995,7.46875,2.84375,1.875,2.75
